M,constellation,receiver,generation_loss_db_per_step,channel_loss_db,branch_label,bracket_min,bracket_max,spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,is_global_maximum,seconds
8,8-QAM,raw_label_srm,0.3,0.25,high_d,1.15,2.15,1.15,0.119596969485,0.999999999987,0.548631868756,0.548631868749,-0.352475406482,50,1,11,1,0,3.947
8,8-QAM,raw_label_srm,0.3,0.25,low_d,0.28,0.9,0.516505354878,0.237050260946,0.999999309391,0.877728747359,0.877728141191,-0.374825112313,56,1,14,0,1,4.754
8,8-QAM,raw_label_srm,0.35,0.25,high_d,1.15,2.15,1.15,0.0501388594849,0.999999999996,0.513047270794,0.513047270792,-0.45686780967,34,1,11,1,0,4.149
8,8-QAM,raw_label_srm,0.35,0.25,low_d,0.28,0.9,0.47980257985,0.211718939554,0.99999895917,0.881419934516,0.881419017108,-0.376054923012,56,1,9,0,1,3.395
8,8-QAM,raw_label_srm,0.4,0.25,high_d,1.15,2.15,1.15,0.0155503170361,0.999999999989,0.479480240025,0.47948024002,-0.55510961362,14,1,11,1,0,4.103
8,8-QAM,raw_label_srm,0.4,0.25,low_d,0.28,0.9,0.451270529195,0.190368425658,0.999998856098,0.88337313028,0.883372119787,-0.377866219177,56,1,9,0,1,3.568
8,8-QAM,raw_label_srm,0.45,0.25,high_d,1.15,2.15,1.84066252104,0.00414788039164,1,0.199477983503,0.199477983503,-0.29777609316,6,1,12,0,0,5.264
8,8-QAM,raw_label_srm,0.45,0.25,low_d,0.28,0.9,0.422269017091,0.173425784892,0.999999481088,0.887192182444,0.887191722069,-0.373088173173,54,1,9,0,1,3.717
8,8-QAM,raw_label_srm,0.5,0.25,high_d,1.15,2.15,1.85351808619,0.00162018776931,1,0.180114689857,0.180114689857,-0.338957357651,4,1,13,0,0,6.928
8,8-QAM,raw_label_srm,0.5,0.25,low_d,0.28,0.9,0.396396472635,0.16051043261,0.999999348824,0.890918206461,0.890917626317,-0.367005907269,52,1,8,0,1,5.715
16,16-QAM,raw_label_srm,0,0.25,high_d,1.05,2.15,1.68561076685,1.67284879047,1,0.484338234263,0.484338234263,1.53434048761,256,1,8,0,1,51.079
16,16-QAM,raw_label_srm,0,0.25,low_d,0.22,0.8,0.8,1.00773325241,0.999995054629,0.838547074737,0.838542927811,-0.130862773093,254,1,18,1,0,40.112
16,16-QAM,raw_label_srm,0,0.25,mid_d,0.65,1.3,1.3,1.51310620893,0.999999997167,0.637366946211,0.637366944406,1.13239494193,256,1,18,1,0,83.278
