subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,spacing_d,hashing_bound_bits_per_attempt,grid_region,loss_db,eta,success_probability,average_target_fidelity,useful_outcomes,seconds
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8175,0.236888381537,full_d,0.9,0.812830516164,0.999999999999,0.882503423731,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.82,0.237247215791,low_d,0.9,0.812830516164,0.999999999999,0.881829910584,12,0.084
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.822,0.237529783488,low_d,0.9,0.812830516164,0.999999999996,0.881290029818,12,0.03
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8225,0.237599801187,full_d,0.9,0.812830516164,0.999999999999,0.881154911346,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.824,0.237808357603,low_d,0.9,0.812830516164,0.999999999998,0.880749200764,12,0.019
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.825,0.237946148924,full_d,0.9,0.812830516164,1.0,0.88047843151,12,0.01
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.826,0.23808294411,low_d,0.9,0.812830516164,0.999999999999,0.880207426243,12,0.019
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8275,0.238286270869,full_d,0.9,0.812830516164,1.0,0.879800476593,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.828,0.238353549255,low_d,0.9,0.812830516164,0.999999999997,0.879664709086,12,0.049
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.83,0.23862017956,low_d,0.9,0.812830516164,1.0,0.879121052132,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.832,0.238882841815,low_d,0.9,0.812830516164,0.999999999996,0.87857645823,12,0.011
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8325,0.238947888193,full_d,0.9,0.812830516164,0.999999999997,0.878440163691,12,0.019
