M,constellation,phase_error_pi,phase_error_rad,source_loss_db_per_interface,channel_loss_db_per_arm,raw_hashing_bound_bits_per_attempt,vacuum_hashing_bound_bits_per_attempt,raw_minus_vacuum_hashing_bound_bits_per_attempt,raw_optimized_spacing_d,vacuum_optimized_spacing_d,raw_minus_vacuum_optimized_spacing_d
4,4-QAM,-0.145,-0.455530934771,0.2,0.25,0.470898537306,0.41564866582,0.055249871486000024,1.60586820178,1.67753256403,-0.07166436225000017
4,4-QAM,-0.14,-0.439822971503,0.2,0.25,0.473983188567,0.418381184838,0.05560200372899998,1.60679315701,1.67887751324,-0.07208435622999998
4,4-QAM,-0.135,-0.424115008235,0.2,0.25,0.476971572671,0.421023556988,0.05594801568300001,1.60756702564,1.67994322161,-0.07237619597
4,4-QAM,-0.13,-0.408407044967,0.2,0.25,0.479861621457,0.423574400492,0.056287220964999995,1.60820542248,1.68084713173,-0.07264170925000002
4,4-QAM,-0.125,-0.392699081699,0.2,0.25,0.482651538208,0.426033249969,0.056618288239,1.6087121414,1.68162007849,-0.07290793708999987
4,4-QAM,-0.12,-0.376991118431,0.2,0.25,0.485339767639,0.428399608827,0.056940158811999986,1.6091226736,1.6822680581,-0.07314538450000008
4,4-QAM,-0.115,-0.361283155163,0.2,0.25,0.487924967532,0.430673013458,0.05725195407399997,1.60943924823,1.68280294795,-0.07336369972000001
4,4-QAM,-0.11,-0.345575191895,0.2,0.25,0.490405982554,0.432853061784,0.05755292076999996,1.60967390691,1.68323689989,-0.07356299298000013
4,4-QAM,-0.105,-0.329867228627,0.2,0.25,0.492781820028,0.434939407012,0.05784241301599996,1.60983764483,1.68358117646,-0.07374353162999991
4,4-QAM,-0.1,-0.314159265359,0.2,0.25,0.495051627637,0.436931746003,0.058119881634000004,1.60994071873,1.68384639397,-0.0739056752399998
4,4-QAM,-0.095,-0.298451302091,0.2,0.25,0.497214672008,0.438829809824,0.05838486218400002,1.60999273434,1.68404257408,-0.07404983974000001
4,4-QAM,-0.09,-0.282743338823,0.2,0.25,0.499270324649,0.440633355679,0.05863696896999998,1.61000149334,1.6841648681,-0.07416337476000012
4,4-QAM,-0.085,-0.267035375555,0.2,0.25,0.501218047269,0.442342159176,0.058875888092999984,1.60997494641,1.68425090342,-0.07427595701
4,4-QAM,-0.08,-0.251327412287,0.2,0.25,0.503057370946,0.4439560075,0.05910136344599998,1.60992026155,1.68429326907,-0.0743730075200002
4,4-QAM,-0.075,-0.235619449019,0.2,0.25,0.504787884291,0.445474692612,0.059313191678999955,1.60984386487,1.68430015641,-0.07445629154
4,4-QAM,-0.07,-0.219911485751,0.2,0.25,0.506409221794,0.446898005133,0.059511216661000066,1.609751522,1.68427810937,-0.07452658737000006
4,4-QAM,-0.065,-0.204203522483,0.2,0.25,0.507921053201,0.448225728633,0.05969532456800003,1.60964838183,1.68423351253,-0.07458513070000006
4,4-QAM,-0.06,-0.188495559215,0.2,0.25,0.509323073939,0.449457634328,0.05986543961099999,1.60953901249,1.68417223189,-0.07463321940000012
4,4-QAM,-0.055,-0.172787595947,0.2,0.25,0.51061499647,0.45059347612,0.06002152034999997,1.60942743284,1.68409962619,-0.07467219335000008
4,4-QAM,-0.05,-0.157079632679,0.2,0.25,0.511796542439,0.451632985901,0.060163556537999985,1.60931713889,1.68402055397,-0.07470341507999989
4,4-QAM,-0.045,-0.141371669412,0.2,0.25,0.512867435449,0.452575868895,0.06029156655400003,1.60921116505,1.68394899458,-0.07473782952999986
4,4-QAM,-0.04,-0.125663706144,0.2,0.25,0.513827394242,0.453421798731,0.06040559551099994,1.60911201654,1.68386941135,-0.07475739480999999
